Transaction ID,,Transaction effective date,Transaction amount,Credit or debit indicator,Statement description,High level transaction purpose,Mid level transaction purpose,Low level transaction purpose,Transaction code,Merchant ID,Product type,Snapshot date,Payment due day,Repayment amount,Previous repayment date
1,,5/9/2020,9608.74,Credit,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,Withdrawal,Retail,Groceries,212,9801,Home Loan,6/1/2020,23,2865.2,7/16/2019
2,,8/16/2020,1977.85,Debit,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,Purchase,ATM,Entertainment,220,5371,Home Loan,9/21/2020,23,1076.81,4/30/2019
3,,8/14/2021,2738.12,Debit,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,Purchase,Retail,Utilities,798,4856,Personal Loan,1/7/2019,6,2964.2,6/28/2020
4,,5/10/2020,8838.83,Credit,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,Withdrawal,Online,Groceries,663,4216,Home Loan,6/21/2020,1,4717.17,7/3/2019
5,,4/1/2020,6429.89,Credit,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,Purchase,Retail,Groceries,300,9146,Personal Loan,2/3/2020,7,2897.32,6/26/2020
6,,4/13/2020,8225.24,Credit,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,Purchase,Online,Entertainment,274,3173,Personal Loan,8/3/2019,10,2462.06,9/18/2021
7,,2/27/2020,467.81,Debit,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,Transfer,ATM,Entertainment,642,8050,Home Loan,4/19/2021,6,137.34,8/18/2021
8,,1/30/2021,2353.29,Debit,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,Withdrawal,Online,Utilities,909,8945,Personal Loan,11/22/2019,19,3768.98,7/2/2021
9,,8/2/2021,2803.34,Debit,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,Purchase,ATM,Entertainment,207,3958,Personal Loan,11/16/2019,23,415.11,6/16/2021
10,,11/26/2020,6311.71,Debit,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,Withdrawal,Online,Utilities,380,1065,Home Loan,8/3/2019,6,1165.25,4/6/2021
11,,7/3/2020,962.6,Credit,pretium nisl ut volutpat sapien arcu sed augue aliquam erat,Withdrawal,ATM,Entertainment,305,4584,Home Loan,2/29/2020,25,472.6,9/9/2021
12,,7/3/2020,4965.06,Debit,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,Purchase,ATM,Entertainment,267,7820,Home Loan,8/4/2019,28,1213.86,12/4/2020
13,,7/16/2021,6269.76,Debit,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,Transfer,Online,Groceries,518,5515,Personal Loan,9/5/2020,19,363.26,11/22/2020
14,,8/25/2019,1242.72,Debit,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,Withdrawal,Retail,Groceries,514,7442,Personal Loan,3/1/2019,7,2742.55,5/28/2019
15,,4/22/2020,8074.46,Credit,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,Withdrawal,Retail,Entertainment,955,4709,Personal Loan,12/20/2021,11,4115.99,7/7/2021
16,,9/20/2019,8319.42,Credit,suspendisse ornare consequat lectus in est risus auctor sed tristique in,Transfer,ATM,Utilities,408,6376,Home Loan,10/14/2019,11,2176.86,7/28/2020
17,,7/16/2019,4940.66,Credit,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,Transfer,ATM,Entertainment,351,1831,Home Loan,12/17/2020,31,1728.14,1/8/2020
